cue,defn
725. Secret ballot / Australian ballot,"First used in Australia in the 1880s. All candidates names were to be printed on the same white piece of paper at the government's expense and polling was to be done in private. It was opposed by the party machines
726. Cleveland's 1887 Annual Address,"Emphasized civil service reform
"727. Election of 1888: candidates, issues"
"728. Benjamin Harrison (1833-1901), Billion Dollar Congress
729. McKinley Tariff,A highly protective tariff passed in 1880. So high it caused a popular backlash which cost the Republicans votes.
"730. Election of 1892: candidates, issues"
731. Morgan bond transaction,"John Pierpont Morgan took over the Susquehanna and Albany railroads. He won the confidence of European investors and used them for investment capital. He then took over steel companies and bought Carnegie's interests in steel. This was the largest personal financial transaction in U.S. history. Morgan combined the companies to form the U.S. Steel Company
732. Wilson - Gorman Tariff,"Meant to be a reduction of the McKinley Tariff
"733. Pollock v. Farmer's Loan and Trust Company, 1895"
734. Dingley Tariff,"Passed in 1897
735. Laissez-faire,A theory that the economy does better without government intervention in business.
"736. Adam Smith, The Wealth of Nations"
"737. Union Pacific Railroad, Central Pacific Railroad"
"738. ""Credit Mobilier""","A construction company owned by the larger stockholders of the Union Pacific Railroad. After Union Pacific received the government contract to build the transcontinental railraod
"739. ""Robber Barons""",The owners of big businesses who made large amounts of money by cheating the federal government.
740. John D. Rockefeller,Joined his brother William in the formation of the Standard Oil Company in 1870 and became very wealthy.
741. Standard Oil Company,"Founded by John D. Rockefeller. Largest unit in the American oil industry in 1881. Known as A.D. Trust
742. Horizontal consolidation,"A form of monopoly that occurs when one person or company gains control of one aspect of an entire industry or manufacturing process
"743. Andrew Carnegie, Henry Clay Frick"
744. Vertical consolidation,"A form of monopoly that occurs when one person or company gains control of every step of the manufacturing process for a single product
745. Charles Schwab (1862-1939),"Founder and president of the U.S. Steel Corporation. First president of the American Iron and Steel Institute in 1901
746. Thomas A. Edison,"One of the most prolific inventors in U.S. history. He invented the phonograph
747. Alexander Graham Bell,1876 - Invented the telephone.
748. Leland Stanford (1824-1893),"Multimillionaire railroad builder
"749. James J. Hill, Great Northern Railroad"
"750. Cornelius Vanderbilt, New York Central Railroad"
751. Bessemer process,"Bessemer invented a process for removing air pockets from iron
"752. U.S. Steel Corporation, Elbert H. Gary"
753. Mesabi Range,"A section of low hills in Minnesota owned by Rockefeller in 1887
754. Pierpont Morgan,"Financier who arranged the merger which created the U.S. Steel Corporation
755. Gustavus Swift,In the 1800s he enlarged fresh meat markets through branch slaughterhouses and refrigeration. He monopolized the meat industry.
756. Phillip Armour (1832-1901),"Pioneered the shipping of hogs to Chicago for slaughter
757. James B. Duke,"Made tobacco a profitable crop in the modern South
758. Andrew Mellon (1855-1937),"One of the wealthiest bankers of his day
"759. ""Stock watering""","Price manipulation by strategic stock brokers of the late 1800s. The term for selling more stock than they actually owned in order to lower prices
760. Jay Cooke Company,"The Panic of 1873 was caused by the failure of this company
761. Jay Gould and Jim Fiske,"Stock manipulators and brothers-in-law of President Grant
762. Pools,Agreement between railroads to divide competition. Equalization was achieved by dividing traffic.
763. Rebates,"Developed in the 1880s
764. Trusts,Firms or corporations that combine for the purpose of reducing competition and controlling prices (establishing a monopoly). There are anti-trust laws to prevent these monopolies.
765. Holding companies,Companies that hold a majority of another company's stock in order to control the management of that company. Can be used to establish a monopoly.
"766. Fourteenth Amendment's ""Due Process Clause""","No state shall deny a person life
767. Munn v. Illinois,1877 - The Supreme Court ruled that an Illinois law that put a ceiling on warehousing rates for grain was a constitutional exercise of the state's power to regulate business. It said that the Interstate Commerce Commission could regulate prices.
"768. Wabash, St. Louis and Pacific Railroad Company v. Illinois"
"769. Interstate Commerce Act, Interstate Commerce Commission"
"770. Long haul, short haul"
771. Sherman Antitrust Act,"1890 - A federal law that committed the American government to opposing monopolies
772. E.C. Knight Company case,"1895 - The Supreme Court ruled that since the Knight Company's monopoly over the production of sugar had no direct effect on commerce
773. National Labor Union,"Established 1866
774. William Sylvis,Leader of the National Labor Union.
"775. Knights of Labor: Uriah Stephens, Terence Powderly"
776. American Federation of Labor (AFL),"Began in 1886 with about 140
777. Samuel Gompers,"President of the AFL
778. Collective bargaining,"Discussions held between workers and their employers over wages
779. Injunction,A judicial order forcing a person or group to refrain from doing something.
780. Strikes,The unions' method for having their demands met. Workers stop working until the conditions are met. It is a very effective form of attack.
781. Boycotts,People refuse to buy a company's product until the company meets demands.
782. Closed shop,A working establishment where only people belonging to the union are hired. It was done by the unions to protect their workers from cheap labor.
783. Black list,A list of people who had done some misdeed and were disliked by business. They were refused jobs and harassed by unions and businesses.
784. Yellow Dog contracts,A written contract between employers and employees in which the employees sign an agreement that they will not join a union while working for the company.
785. Company unions,"People working for a particular company would gather and as a unit demand better wages
786. Great Railroad Strike,"July
787. Haymarket Square Riot,"100
788. John Peter Altgeld,"Governor of Illinois during the Haymarket riots
789. Homestead Strike,"The workers at a steel plant in Pennsylvania went on strike
790. Pinkertons,"Members of the Chicago police force headed by Alan Pinkerton
791. American Railway Union,"Led by Eugene Debs
"792. Pullman Strike, 1894"
793. Eugene V. Debs,"Leader of the American Railway Union
794. Richard Olney,"Attorney General of the U.S.
795. Danbury Hatters Strike,Workers in a hat-making factory went on strike.
796. George Washington Plunkitt,"He was head of Tammany Hall and believed in ""Honest Graft""."
"797. ""Honest Graft""",Justified bribery or cheating.
798. Boss Tweed,"Large political boss and head of Tammany Hall
799. Tammany Hall,"Political machine in New York
800. Thomas Nast,"Newspaper cartoonist who produced satirical cartoons
"801. ""New Imigration""","The second major wave of immigration to the U.S.; betwen 1865-1910
802. Dillingham Commission Report,"1911 - Congressional commission set up to investigate demands for immigration restriction. It's report was a list of complains against the ""new immigrants."""
803. Streetcar suburbs,The appearance of the streetcar made living within the heart of the city unnecessary. People began moving to the edges of the cities and commuting to work by streetcar. Led to growth of suburbs.
804. Tenements,Urban apartment buildings that served as housing for poor factory workers. Often poorly constructed and overcrowded.
"805. Jane Addams, Hull House"
806. Denis Kearney,"Irish immigrant who settled in San Fransicso and fought for workers rights. He led strikes in protest of the growing number of imported Chineseworkers who worked for less than the Americans. Founded the Workingman's Party
807. Chinese Exclusion Law,1882 - Denied citizenship to Chinese in the U.S. and forbid further immigration of Chinese. Supported by American workers who worried about losing their jobs to Chinese immagrants who would work for less pay.
808. American Protective Association,A Nativist group of the 1890s which opposed all immigration to the U.S.
809. Literacy tests,"Immigrants were required to pass a literacy test in order to gain citizenship. Many immigrants were uneducated or non-English-speakers
"810. James Bryce, The American Commonwealth"
"811. John A. Roebling (1806-1869), Brooklyn Bridge"
812. Louis Sullivan (1856-1914),Known as the father of the skyscraper because he designed the first steel-skeleton skyscraper. Mentor of Frank Lloyd Wright.
813. Frank Lloyd Wright,Considered America's greatest architect. Pioneered the concept that a building should blend into and harmonize with its surroundings rather than following classical designs.
814. Ashcan School,"Also known as The Eight
815. Armory Show,"1913 - The first art show in the U.S.
816. Anthony Comstock (1844-1915),Social reformer who worked against obscenity.
"817. Charles Darwin, Origin of Species"
818. Social Darwinism,"Applied Darwin's theory of natural selection and ""survival of the fittest"" to human society -- the poor are poor because they are not as fit to survive. Used as an argument against social reforms to help the poor."
"819. Andrew Carnegie (1835-1919), The Gospel of Wealth"
820. Herbert Spencer (1820-1903),"British
"821. William Graham Sumner, What Social Classes Owe to Each Other"
822. Henry Ward Beecher (1813-1889),"Minister who worked against slavery in Kansas Border War
"823. Rev. Russel Conwell, ""Acres of Diamonds"""
824. Dwight L. Moody (1837-1899),Evangelist who preached the social gospel.
825. Rev. Josiah Strong,"Enivisioned a ""final competition of races
826. Lester Frank Ward,"Sociologist who attacked social Darwinism in his book
827. Social gospel,A movement in the late 1800s / early 1900s which emphasized charity and social responsibility as a means of salvation.
"828. Salvation Army, YMCA"
829. Walter Rauschenbusch,"New York clergyman who preached the social gospel
830. Washington Gladden,Congregationalist minister who followed the social gospel and supported social reform. A prolific writer whose newspaper cloumns and many books made him a national leader of the Social gospel movement.
831. Rerum Novarum,1891 - Pope Leo XII's call to the Catholic Church to work to alleviate social problems such as poverty.
"832. Charles Sheldon, In His Steps Proofed Through Here"
833. Mary Baker Eddy (1871-1910),Founded the Church of Christian Scientists and set forth the basic doctrine of Christian Science.
834. Chautauqua Movement,"One of the first adult education programs. Started in 1874 as a summer training program for Sunday School teachers
835. Johns Hopkins University,A private university which emphasized pure research. It's entrance requirements were unusually strict -- applicants needed to have already earned a college degree elsewhere in order to enroll.
"836. Charles W. Elliot, Harvard University"
837. Josiah Willard Gibbs (1839-1903),"America's greatest theoretical scientist
838. Morril Act,1862 - Set aside public land in each state to be used for building colleges.
"839. Land grant colleges: A&M, A&T
840. Hatch Act,1887 - Provided for agricultural experimentation stations in every state to improve farming techniques.
"841. Edward Bellamy, Looking Backwards
"842. Henry George, Progress and Poverty"
843. The single tax,"A flat tax proposed by Henry George. (A flat tax is one in which every person pays the same amount
"844. ""Gilded Age""","A name for the late 1800s
845. Nouveau riche,"French for ""new rich."" Refered to people who had become rich through business rather than through having been born into a rich family. The nouveau riche made up much of the American upper classof the late 1800s."
846. William James,"Developed the philosophy of pragmatism. One of the founders of modern psychology
847. Pragmatism,A philosophy which focuses only on the outcomes and effects of processes and situations.
"848. Edwin Lawrence Godkin (1831-1902), editor of The Nation"
849. William Dean Howells (1837-1920),"Editor of the Atlantic Monthly
850. Henry James (1843-1916),"American writer who lived in England. Wrote numerous novels around the theme of the conflict between American innocence and European sophistication/corruption
851. Stephen Crane (1871-1900),"Writer who introduced grim realism to the American novel. His major work
852. Hamlin Garland,"His best-known work is Middle Board
853. Bret Harte,"Wrote humorous short stories about the American West
854. Mark Twain,"Master of satire. A regionalist writer who gave his stories ""local color"" through dialects and detailed descriptions. His works include The Adventures of Huckleberry Finn
856. James McNeill Whistler,"(1834-1903) A member of the realist movement
857. Winslow Homer,A Realist painter known for his seascapes of New England.
858. Joseph Pullitzer,"A muckraker who designed the modern newspaper format (factual articles in one section
859. William Randolph Hearst,Newspaper publisher who adopted a sensationalist style. His reporting was partly responsible for igniting the Spanish-American War.
860. Susan B. Anthony,"(1820-1906) An early leader of the women's suffrage (right to vote) movement
861. Elizabeth Cady Stanton,"(1815-1902) A suffragette who
862. Carrie Chapman Catt,"(1859-1947) A suffragette who was president of the National Women's Suffrage Association
863. Alice Paul,A suffragette who believed that giving women the right to vote would eliminate the corruption in politics.
864. Women's Christian Temperance Union (WCTU),A group of women who advocated total abstinence from alcohol and who worked to get laws passed against alcohol.
865. Francis Willard,Dean of Women at Northwestern University and the president of the Women's Christian Temperance Union.
866. Carry A. Nation (1846-1901),"A prohibitionist. She believed that bars and other liquor-related businesses should be destroyed
867. Clara Barton,"Superintendant of Nurses for the Union Army during the Civil War
868. Mississippi Plan,"1890 - In order to vote in Mississippi
869. Bourbons / Redeemers,A religious movement in the South.
"870. ""New South,"" Henry Grady (1850-1889)"
871. Joel Chandler Harris (1848-1908),"Wrote the ""Uncle Remis"" stories
872. Slaughterhouse cases,"A series of post-Civil War Supreme Court cases containing the first judicial pronouncements on the 13th
873. Civil Rights Act of 1875,"Prohibited discrimination against blacks in public place
874. Civil Rights cases,"1883 - These state supreme court cases ruled that Constitutional amendments against discrimination applied only to the federal and state governments
875. Lynching,"The practice of an angry mob hanging a percieved criminal without regard to due process. In the South
"876. Booker T. Washington (1857-1915), Tuskegee Institute"
"877. ""The Atlanta Compromise""",Booker T. Washington's speech encouraged blacks to seek a vocational education in order to rise above their second-class status in society.
878. George Washington Carver (1860-1943),"A black chemist and director of agriculture at the Tuskegee Institute
879. W. E. B. DuBois (1868-1963),"A black orator and eassayist. Helped found the National Association for the Advancement of Colored People (NAACP). He disagreed with Booker T. Washington's theories
"880. ""Talented Tenth""","According to W. E. B. DuBois
"881. Plessy v. Ferguson, ""Separate but equal"""
882. Jim Crow laws,State laws which created a racial caste system in the South. They included the laws which prevented blacks from voting and those which created segregated facilities.
"883. Disenfranchisement, Williams v. Mississippi"
884. Grandfather clause,"Said that a citizen could vote only if his grandfather had been able to vote. At the time
885. Niagra Movement,"A group of black and white reformers
"886. Springfield, Illinois riot"
887. National Association for the Advancement of Colored People (NAACP),Founded in 1909 by a group of black and white intellectuals.
"888. ""The Crisis""","The NAACP's pamphlet
889. Great American Desert,"Region between the Missouri River and the Rocky Mountains. Vast domain became accessible to Americans wishing to settle there. This region was called the ""Great American Desert"" in atlases published between 1820 and 1850
890. Homestead Act,1862 - Provided free land in the West to anyone willing to settle there and develop it. Encouraged westward migration.
891. Oliver H. Kelley,Worked in the Department of Agriculture and lead the Granger Movement.
892. Granger Movement,"1867 - Nation Grange of the Patrons of Husbandry. A group of agrarian organizations that worked to increase the political and economic power of farmers. They opposed corrupt business practices and monopolies
"893. Barbed wire, Joseph Glidden"
894. Indian Appropriations Act,1851 - The U.S. government reorganized Indian land and moved the Indians onto reservations.
895. Plains Indians,"Posed a serious threat to western settlers because
896. Chivington Massacre,"November 28
897. Battle of the Little Big Horn,1876 - General Custer and his men were wiped out by a coalition of Sioux and Cheyenne Indians led by Sitting Bull and Crazy Horse.
898. Chief Joseph,"Lead the Nez Perce during the hostilities between the tribe and the U.S. Army in 1877. His speech ""I Will Fight No More Forever"" mourned the young Indian men killed in the fighting."
899. Battle of Wounded Knee,"1890 - The Sioux
"900. Helen Hunt Jackson, A Century of Dishonor"
"901. Dawes Severalty Act, 1887"
"902. Frederick Jackson Turner, Frontier Thesis"
903. Safety Valve Thesis,"Proposed by Frederick Jackson Turner to explain America's unique non-European culture
904. Comstock Lode,Rich deposits of silver found in Nevada in 1859.
"905. ""Crime of 1873""",Referred to the coinage law of 1873 which eliminated silver money from circulation. Name given by people who opposed paper money.
906. Bland-Allison Act,"1878 - Authorized coinage of a limited number of silver dollars and ""silver certificate"" paper money. First of several government subsidies to silver producers in depression periods. Required government to buy between $2 and $4 million worth of silver. Created a partial dual coinage system referred to as ""limping bimetallism."" Repealed in 1900."
907. Serman Silver Purchase Act,"1890 - Directed the Treasury to buy even larger amounts of silver that the Bland-Allison Act and at inflated prices. The introduction of large quantities of overvalued silver into the ecomony lead to a run on the ferderal gold reserves
908. Bimetalism,"Use of two metals
"909. ""Coin"" Harvey","Proposed a plan for bimettalism with a standard of 16 to 1
910. Free Silver,Movement for using silver in all aspects of currency. Not adopted because all other countries used a gold standard.
911. Depression of 1893,"Profits dwindled
912. Coxey's army,1893 - Group of unemployed workers led by Jacob Coxey who marched from Ohio to Washington to draw attention to the plight of workers and to ask for government relief. Government arrested the leaders and broke up the march in Washington.
913. Repeal of Serman's Silver Purchase Act,1893 - Act repealed by President Cleveland to protect gold reserves.
914. Farmer's Alliance,Movement which focused on cooperation between farmers. They all agreed to sell crops at the same high prices to eliminate competition. Not successful.
915. Ocala Demands,"1890 - The leaders of what would later become the Populist Party held a national convention in Ocala
"916. Populist Party platform, Omaha platform"
917. Tom Watson,A leader of the Populist Party in the South.
918. James B. Weaver,He was the Populist candidate for president in the election of 1892; received only 8.2% of the vote. He was from the West.
"919. ""Pitchfork"" Ben Tillman","A senator from South Carolina
920. Mary Ellen Lease,A speaker for the Populist Party and the Farmer's Alliance. One of the founders of the Populist Party.
"921. ""Sockless"" Jerry Simpson",A rural reformer who ran against Mary Lease in the Populist Part election in Kansas.
922. Ignatius Donnely,A leader of the Populist Party in Minnesota.
923. Williams Jenning Bryan,"Three-time candidate for president for the Democratic Party
"924. ""Cross of Gold"" Speech","Given by Bryan on June 18
925. Election of 1896: candidates and issues,"William McKinley-Republican
926. Marcus Hanna,Leader of the Republican Party who fought to get William McKinley the Republican nomination for president.
927. Gold Standard Act,"1900 - This was signed by McKinley. It stated that all paper money would be backed only by gold. This meant that the government had to hold gold in reserve in case people decided they wanted to trade in their money. Eliminated silver coins
928. Supreme Court cases,"Legal Tender cases
929. Supreme Court: Legal Tender cases,"1870
930. Supreme Court: Minor v. Happensett,1875 - Limited the right to vote to men.
"931. Supreme Court: Wabash, St. Louis & Pacific Railroad Company v. Illinois"
932. E. C. Knight Company case,"1895 - The Supreme Court ruled that since the Knight Company's monopoly over the production of sugar had no direct effect on commerce
933. Pollock v. Farmer's Loan and Trust Company,"1895 - The court ruled the income could not be taxed. In response
934. In Re Debs,"1894 - Eugene Debs organised the Pullman strike. A federal court found him guilty of restraint of trade
"935. James G. Blaine, Pan-Americanism"
936. Venezuelan boundary dispute,Dispute between the U.S. and Britain involving the point at which the Venezuela / Columbia border was drawn. Britain eventually won the dispute.
937. Bering sea seal controversy,A dispute between the U.S. and Russia involving who could hunt seals in the Bering Sea.
"938. ""Yellow journalism""",Term used to describe the sensationalist newspaper writings of the time. They were written on cheap yellow paper. The most famous yellow journalist was William Randolf Hearst. Yellow journalism was considered tainted journalism - omissions and half-truths.
"939. Josiah Strong, Our Country"
940. Captain Alfred Thayler Mahan,"In 1890
"941. Pago Pago, Samoa"
942. Virginius,"1873 - Spain and U.S. government got into a squabble over the Cuban-owned Virginius
943. Reconcentration Policy,"When Cubans started to rebel
944. De Lome Letter,"Written by the Spanish minister in Washington
945. Maine explodes,"February 15
946. Assistant Secretary of Navy Theodore Roosevelt,"In charge of the navy when the Maine crisis occurred
"947. Commodore Dewey, Manila Bay"
948. Cleveland and Hawaii,"President Cleveland did not want to forcibly annex Hawaii
949. Queen Liliuokalani,Queen of Hawaii who gave the U.S. naval rights to Pearl Harbor in 1887. Deposed by American settlers in 1893.
950. Annexation of Hawaii,"By the late 1800s
"951. Rough Riders, San Juan Hill"
952. Treaty of Paris,"Approved by the Senate on February 6
953. American Anti-Imperialist League,A league containing anti-imperialist groups; it was never strong due to differences on domestic issues. Isolationists.
"954. Philippines, Guam
955. Walter Reed,Discovered that the mosquito transmitted yellow fever and developed a cure. Yellow fever was the leading cause of death of American troops in the Spanish-American War.
956. Insular cases,"Determined that inhabitants of U.S. territories had some
957. Teller Amendment,"April 1896 - U.S. declared Cuba free from Spain
958. Platt Amendment,"A rider to the Army Appropriations Bill of 1901
959. Protectorate,"A weak country under the control and protection of a stronger country. Puerto Rico
"960. Aguinaldo, Philippine Insurrection"
"961. Secretary of State John Hay, Open Door notes"
962. Spheres of influence,"Region in which political and economic control is exerted by on European nation to the exclusion of all others. Spheres of influence appeared primarily in the East
963. Boxer Rebellion,1900 - a secret Chinese society called the Boxers because their symbol was a fist revolted against foreigners in their midst and laid siege to foreign legislations in Beijing.
964. Extraterritoriality,"In the 1920's
965. Most Favored Nation Clause,"Part of RTA Act in 1834
"966. Election of 1900: candidates, issues"
967. Roosevelt's Big Stick Diplomacy,"Roosevelt said
968. U.S.S. Oregon,Warship involved in Spanish-American blockade in Cuba in 1898. Went from Cuba to the Philippines by going around the Southern tip of South America. Showed that we need a better route between the Atlantic and the Pacific.
969. Clayton-Bulwer Treaty,1850 - Treaty between U.S. and Great Britain agreeing that neither country would try to obtain exclusive rights to a canal across the Isthmus of Panama. Abrogated by the U.S. in 1881.
970. Hay-Pauncefote Treaty,1901 - Great Britain recognized U.S. Sphere of Influence over the Panama canal zone provided the canal itself remained neutral. U.S. given full control over construction and management of the canal.
971. Hay-Herran Treaty,Kept the purchase price of the canal strip in Panama the same but enlarged the area from 6 to 10 miles.
972. Hay-Bunau-Varilla Treaty,1903 - U.S. guaranteed the independence of the newly-created Republic of Panama.
973. Panama Revolution,"The Isthmus of Panama had been part of Columbia. U.S. tried to negotiate with Columbia to build the Panama Canal. Columbia refused
974. Panama Canal,Buit to make passage between Atlantic and Pacific oceans easier and faster.
975. Goethals and Gorgas,1906 - Army colonels who supervised the construction of the Panama Canal.
976. Venezuelan Crisis,"1902 - England
977. Drago Doctrine,"Argentine jurist
978. Roosevelt Corollary,U.S. would act as international policemen. An addition to the Monroe Doctrine.
"979. ""Colossus of the North""","1906 - Relations between U.S. and Canada including a reciprocal trade agreement. Tight relations made the U.S. and Canada a ""Colossus."""
980. Dominican Republic,"In 1905
"981. Russo-Japanese War, Treaty of Portsmouth"
982. San Francisco School Board Incident,"1906 - Racist schools segregated Chinese
983. Elihu Root,"Secretary of War under Roosevelt
984. Gentlemen's Agreement,In 1907 Theodore Roosevelt arranged with Japan that Japan would voluntarily restrict the emmigration of its nationals to the U.S.
985. Great White Fleet,"1907-1909 - Roosevelt sent the Navy on a world tour to show the world the U.S. naval power. Also to pressure Japan into the ""Gentlemen's Agreement."""
986. Root-Takahira Agreement,1908 - Japan / U.S. agreement in which both nations agreed to respect each other's territories in the Pacific and to uphold the Open Door policy in China.
"987. Lansing-Ishii Agreement, 1917"
"988. Democracy, efficiency
"989. ""Muckrakers""","Journalists who searched for and publicized real or alleged acts of corruption of public officials
"990. Henry Demarest Lloyd (1847-1903), Wealth Against Commonwealth"
"991. Thorstien Velben, The Theory of the Leisure Class"
"992. Jacob Riis, How the Other Half Lives"
"993. Lincoln Steffens (1866-1936), The Shame of the Cities"
"994. Frank Norris (1870-1902), The Octopus"
"995. Ida Tarbell (1857-1944), History of the Standard Oil Company"
"996. John Spargo, The Bitter Cry of the Children"
"997. David Graham Phillips, The Treason of the Senate"
"998. Charlotte Perkins Gilman (1860-1935), Women and Economics"
"999. John Dewey (1859-1952): the school and society, ""progressive education""
"1000. Oliver Wendel Holmes, Jr."
1001. Margaret Sanger (1883-1966),"American leader of the movement to legalize birth control during the early 1900's. As a nurse in the poor sections of New York City
1002. Edward Ross (1866-1951),"Sociologist who promoted ""social psychology
1003. Richard Ely (1854-1943),"He asserted that economic theory should reflect social conditions
"1004. Initiative, referendum
1005. Direct Primary,An election where people directly elect their party's candidates for office. Candidates had previously been selected by party caucuses that were considered elitist and undemocratic. This made elected official more accountable to the people.
"1006. 16th, 17th
1007. Charles Evans Hughes (1862-1948),"Started government regulation of public utilities. He was Secretary of State under Harding and later became Chief Justice of the Supreme Court. He was the Republican candidate in 1916
1008. Triangle Shirtwaist Company Fire,"A fire in New York's Triangle Shirtwaist Company in 1911 killed 146 people
1009. Anti-Saloon League,National organization set up in 1895 to work for prohibition. Later joined with the WCTU to publicize the effects of drinking.
1010. Square Deal,Roosevelt used this term to declare that he would use his powers as president to safeguard the rights of the workers.
"1011. Newlands Reclamation Act, 1902"
"1012. Forest Reserve Act, 1891"
"1013. Anthracite Coal Strike, 1902
"1014. Elkins Act, 1903
"1015. Hepburn Act, 1906"
"1016. Mann-Elkins Act, 1910"
"1017. ""Trustbuster""","Nicknamed for Teddy Roosevelt
1018. Northern Securities Company case,The Supreme Court ordered this company to dissolve because it was a trust.
1019. Meat Inspection Act,1906 - Laid down binding rules for sanitary meat packing and government inspection of meat products crossing state lines.
"1020. Upton Sinclair, The Jungle"
1021. Pure Food and Drug Act,"1906 - Forbade the manufacture or sale of mislabeled or adulterated food or drugs
"1022. Conservation Conference, 1908"
1023. Panic of 1907,Caused by mistrust for and lowered confidence in bankers.
1024. Election of 1908,"Taft
1025. Mark Hanna (1839-1904),"Prominent Republican senator and businessman
"1026. Scientific Management, Frederick W. Taylor"
"1027. Wisconsin, ""Laboratory of Democracy"""
1028. Robert M. LaFollette (1855-1925),"A great debater and political leader who believed in libertarian reforms
1029. Regulatory commissions,Formed to set safety standards and to enforce fair practices of business competition for the sake of the U.S. public.
"1030. Florence Kelley, consumerism"
1031. Home Rule for cities,The idea was that the people of a city should decide how the city is run.
"1032. Tom Johnson, Sam (Golden Rule) Jones
"1033. City Manager Plan, Commission Plan"
1034. William Howard Taft,"27th President (1908-1912)
1035. Department of Labor,"Originally started in 1903 as the Department of Commerce and Labor
"1036. Payne-Aldrich Tariff, 1909"
1037. Ballinger-Pinchot Controversy,"Cabinet members who had fought over conservation efforts and how much effort and money should be put into conserving national resources. Pinchot
"1038. Uncle Joe Cannon (1836-1926), Old Guard"
1039. Senator George Norris (1861-1944),"Congressman from Nebraska
"1040. Rule of Reason: Standard Oil case, American Tobacco case"
"1041. ""Dollar Diplomacy""",Taft and Knox cam up with it to further foreign policy in the U.S. in 1909-1913 under the Roosevelt Corollary. It was meant to avoid military intervention by giving foreign countries monetary aid.
1042. Secretary of State Knox (1853-1920),"Developed dollar diplomacy with Taft
1043. Manchurian Railroad Scheme,The U.S. planned to build a railroad to transport American products into China. It would have allowed the U.S. to corner the China market.
"1044. Roosevelt's Osawatomie, Kansas speech"
1045. Taft-Roosevelt split,"They split over idealogy. Roosevelt believed in breaking up ""bad"" trusts while allowing ""good"" trusts to continue. Taft opposed all trusts. Roosevelt wanted more involvement in foreign affairs
1046. Bull Moose Party,"The Progressive Party
"1047. Woodrow Wilson, New Freedom"
"1048. Theodore Roosevelt, New Nationalism"
"1049. Herbert Croly, The Promise of American Life"
"1050. Election of 1912: Wilson, Roosevelt
"1051. Daniel DeLeon, IWW
1052. Pujo Committee,A committee formed to decide the fate of the Philippine Islands after the Spanish-American War.
1053. Federal Reserve Act,"Regulated banking to help small banks stay in business. A move away from laissez-faire policies
1054. Underwood-Simmons Tariff,"October 13
1055. Income tax,"The first step toward building government revenues and redistributing wealth
"1056. Federal Trade Commission, Cease and Desist Orders"
"1057. Clayton Antitrust Act, labor's Magna Carta"
1058. Secretary of State William Jennings Bryan (1860-1925),"Served as Secretary of State under Wilson from 1913-1915
1059. Arbitration Treaties,"Negotiated by U.S. using arbitration
1060. Panama tolls dispute,Dispute over canal toll charge between the U.S. and Panama.
1061. Colonel House,He was openly pro-British and was sent to Europe by Wilson to mediate. He would tolerate no interference in matters of foreign policy.
"1062. Louis Brandeis (1856-1941), ""Brandeis Brief"""
1063. LaFollette Seaman's Act,LaFollette was a major leader of the Progressive movement from Wisconsin. He protested the cruel treatment that sailors received and led the fight for this act.
"1064. Federal Highways Act, 1916"
"1065. Adamson Act, 1916"
"1066. Smith-Lever Act, Smith-Hughes Act"
1067. Virgin Islands Purchased,1917 - U.S. bought them from Denmark and built a naval base to protect the Panama Canal and to prevent Germany's seizure of islands during WWI.
"1068. Jones Act, 1916 (Philippine)"
"1069. Jones Act, 1917 (Puerto Rico)"
"1070. Mexican Revolution, Diaz
1071. Mexican Migration to the U.S.,"In the 1800's
"1072. ""Watchful Waiting""","Often said by President Monroe during the U.S.'s isolationism period
1073. ABC Powers,"1899 - Name given to Argentina
"1074. Pancho Villa, General Pershing"
1075. Archangel Expedition,"1917 - U.S. sent troops to the Soviet cities of Murmansk and Archangel to reinforce White Russians (non-Communists). The U.S. troops did not fight Communists
"1076. ""Sick Man of Europe,"" Ottoman Empire
1077. Triple Entente; Allies,"Britain
1078. Triple Alliance; Central Powers,"Germany
1079. Loans to the Allies,"During WWII
1080. British blockade,"Declared a loose
"1081. Lusitania, Arabic Pledge
"1082. Election of 1916: Hughes, Wilson
1083. Unrestricted submarine warfare,This was the German practice of attacking any and all shipping to countries it was at war with. It annoyed neutral countries.
1084. Zimmerman note,"1917 - Germany sent this to Mexico instructing an ambassador to convince Mexico to go to war with the U.S. It was intercepted and caused the U.S. to mobilized against Germany
"1085. Russian Revolutions, 1917
"1086. War declared, April 1917"
"1087. ""Make the world safe for democracy""",Wilson gave this as a reason for U.S. involvement in WWI.
1088. Creel Committee,"Headed by George Creel
1089. Bond drives,"Campaigns to get people to but government war bonds to finance the war
1090. War Industries Board,"The most powerful agency of the war
1091. Bernard Baruch,"Millionaire
"1092. Herbert Hoover, Food Administration"
"1093. Espionage Act, 1917; Sedition Act
1094. Eugene V. Debs imprisoned,"Debs repeatedly ran for president as a socialist
1095. AEF,"American Expeditionary Force was the first American ground troops to reach the European front. Commanded by Pershing
1096. Selective service,1917 - Stated that all men between the ages of 20 and 45 had to be registered for possible military service. Used in case draft became necessary.
1097. Black migration to northern cities,"During WWI
1098. Aims of Allies and U.S. at Peach Conference,"Allies wanted Germany to pay reparation for costs of war. Wilson brought 14 points
1099. Wartime manpower losses,"WWI involved violent
1100. Fourteen Points,"Wilson's idea that he wanted included in the WWI peace treaty
1101. Congressional elections of 1918,"The 66th Congress
"1102. Versailles Conference, Versailles Treaty"
1103. Versailles Delegation,"Led by Wilson
